T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
678,Sao Tome and Principe,2017,Patents in force (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
678,Sao Tome and Principe,2018,Patents in force (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
678,Sao Tome and Principe,2019,Patents in force (number),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2010,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2017,Resident patent filings (per million population),37,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2018,Resident patent filings (per million population),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2019,Resident patent filings (per million population),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,1995,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2005,Grants of patents (number),225,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2010,Grants of patents (number),194,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2017,Grants of patents (number),501,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2018,Grants of patents (number),569,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2019,Grants of patents (number),480,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2017,Patents in force (number),"3,277",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2018,Patents in force (number),"3,383",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
682,Saudi Arabia,2019,Patents in force (number),"3,829",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
686,Senegal,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
686,Senegal,2017,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
686,Senegal,2018,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
686,Senegal,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2005,Resident patent filings (per million population),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2010,Resident patent filings (per million population),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2017,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2018,Resident patent filings (per million population),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2019,Resident patent filings (per million population),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2005,Grants of patents (number),265,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2010,Grants of patents (number),427,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2017,Grants of patents (number),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2018,Grants of patents (number),44,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2019,Grants of patents (number),59,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2010,Patents in force (number),"1,477",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2017,Patents in force (number),"4,644",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2018,Patents in force (number),"5,685",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
688,Serbia,2019,Patents in force (number),"6,773",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,1985,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,1995,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,2017,Grants of patents (number),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,2018,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,2017,Patents in force (number),198,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,2018,Patents in force (number),209,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
690,Seychelles,2019,Patents in force (number),209,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
694,Sierra Leone,1995,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,1995,Resident patent filings (per million population),41,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2005,Resident patent filings (per million population),133,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2010,Resident patent filings (per million population),176,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2017,Resident patent filings (per million population),287,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2018,Resident patent filings (per million population),279,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2019,Resident patent filings (per million population),303,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,1985,Grants of patents (number),416,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,1995,Grants of patents (number),"1,750",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2005,Grants of patents (number),"7,530",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2010,Grants of patents (number),"4,442",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2017,Grants of patents (number),"6,217",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2018,Grants of patents (number),"5,172",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2019,Grants of patents (number),"4,188",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2005,Patents in force (number),"43,024",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2010,Patents in force (number),"43,591",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2017,Patents in force (number),"49,514",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2018,Patents in force (number),"48,105",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
702,Singapore,2019,Patents in force (number),"47,310",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,1995,Resident patent filings (per million population),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2005,Resident patent filings (per million population),32,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2010,Resident patent filings (per million population),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2017,Resident patent filings (per million population),41,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2018,Resident patent filings (per million population),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2019,Resident patent filings (per million population),45,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,1995,Grants of patents (number),381,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2005,Grants of patents (number),560,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2010,Grants of patents (number),376,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2017,Grants of patents (number),82,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2018,Grants of patents (number),109,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2019,Grants of patents (number),91,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2005,Patents in force (number),"4,033",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2010,Patents in force (number),"10,565",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2017,Patents in force (number),"17,815",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2018,Patents in force (number),"19,247",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
703,Slovakia,2019,Patents in force (number),"20,981",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,1995,Resident patent filings (per million population),158,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2005,Resident patent filings (per million population),215,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2010,Resident patent filings (per million population),282,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2017,Resident patent filings (per million population),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2018,Resident patent filings (per million population),171,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2019,Resident patent filings (per million population),58,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,1995,Grants of patents (number),380,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2005,Grants of patents (number),285,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2010,Grants of patents (number),250,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2018,Grants of patents (number),232,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2005,Patents in force (number),"5,201",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2010,Patents in force (number),"1,485",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
705,Slovenia,2018,Patents in force (number),"1,343",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
90,Solomon Islands,1985,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
706,Somalia,1985,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,1985,Resident patent filings (per million population),124,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,1995,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2005,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2010,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2017,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2018,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2019,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,1985,Grants of patents (number),"6,768",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,1995,Grants of patents (number),"5,113",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2005,Grants of patents (number),"1,831",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2010,Grants of patents (number),"5,331",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2017,Grants of patents (number),"5,535",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2018,Grants of patents (number),"4,746",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2019,Grants of patents (number),"6,162",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2017,Patents in force (number),"63,151",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2018,Patents in force (number),"73,270",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
710,South Africa,2019,Patents in force (number),"76,936",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,1985,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,1995,Resident patent filings (per million population),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2005,Resident patent filings (per million population),92,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2010,Resident patent filings (per million population),107,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2017,Resident patent filings (per million population),83,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2018,Resident patent filings (per million population),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2019,Resident patent filings (per million population),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,1985,Grants of patents (number),"9,115",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,1995,Grants of patents (number),686,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2005,Grants of patents (number),"2,769",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2010,Grants of patents (number),"2,773",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2017,Grants of patents (number),"2,011",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2018,Grants of patents (number),"1,760",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2019,Grants of patents (number),"1,272",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2005,Patents in force (number),"39,297",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2010,Patents in force (number),"175,687",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2017,Patents in force (number),"108,732",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2018,Patents in force (number),"95,911",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
724,Spain,2019,Patents in force (number),"222,666",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2005,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2010,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2017,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2018,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2019,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,1985,Grants of patents (number),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,1995,Grants of patents (number),159,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2005,Grants of patents (number),180,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2010,Grants of patents (number),504,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2017,Grants of patents (number),178,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2018,Grants of patents (number),212,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2019,Grants of patents (number),175,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2017,Patents in force (number),826,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2018,Patents in force (number),850,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
144,Sri Lanka,2019,Patents in force (number),781,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2010,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2017,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2018,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2019,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2005,Grants of patents (number),174,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2010,Grants of patents (number),125,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2017,Grants of patents (number),177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2018,Grants of patents (number),204,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2019,Grants of patents (number),139,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2017,Patents in force (number),177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
729,Sudan,2018,Patents in force (number),204,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,1985,Resident patent filings (per million population),460,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,1995,Resident patent filings (per million population),446,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2005,Resident patent filings (per million population),555,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2010,Resident patent filings (per million population),614,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2017,Resident patent filings (per million population),574,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2018,Resident patent filings (per million population),579,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2019,Resident patent filings (per million population),601,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,1985,Grants of patents (number),"5,681",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,1995,Grants of patents (number),"1,541",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2005,Grants of patents (number),"1,911",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2010,Grants of patents (number),"1,380",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2017,Grants of patents (number),"1,031",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2018,Grants of patents (number),"1,063",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2019,Grants of patents (number),920,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2005,Patents in force (number),"102,741",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2010,Patents in force (number),"96,796",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2017,Patents in force (number),"96,876",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2018,Patents in force (number),"100,974",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
752,Sweden,2019,Patents in force (number),"107,032",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,1985,Resident patent filings (per million population),493,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,1995,Resident patent filings (per million population),410,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2005,Resident patent filings (per million population),897,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2010,Resident patent filings (per million population),"1,069",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2017,Resident patent filings (per million population),"1,020",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2018,Resident patent filings (per million population),"1,081",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2019,Resident patent filings (per million population),"1,122",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,1985,Grants of patents (number),"6,421",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,1995,Grants of patents (number),"1,303",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2010,Grants of patents (number),741,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2017,Grants of patents (number),771,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2018,Grants of patents (number),614,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2019,Grants of patents (number),615,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2005,Patents in force (number),"99,531",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2010,Patents in force (number),"123,033",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2017,Patents in force (number),"208,022",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2018,Patents in force (number),"244,581",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
756,Switzerland,2019,Patents in force (number),"246,124",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,1995,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2017,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2018,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2019,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,1995,Grants of patents (number),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2005,Grants of patents (number),72,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2017,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2018,Grants of patents (number),37,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2019,Grants of patents (number),58,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
760,Syrian Arab Republic,2017,Patents in force (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
762,Tajikistan,1995,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
