Country Name,Country Code,GNI,Percent_Of_Educate,CPIA,Percent_Energy,Female_Labor_Percent,Poor_Percent,Per_Water,Gini,Malnutrition,ISO3,CPI score 2021,port,country_x,Value,country_y
後期人口紅利,LTE,18011.858597173683,14.48905515670775,3.7818181818181817,42.152562658038576,44.37114912553123,,,,4.144648468815925,,,,,,
立陶宛,LTU,37760.0,13.5359697341919,,78.99874734250032,50.75115514895438,1.5,,38.4,2.5,LTU,61.0,1.0,LTU,1.093888888888889,LTU
卢森堡,LUX,82980.0,,,97.29440497431402,46.42839539640683,0.3,,35.4,2.5,LUX,81.0,,,1.0386666666666666,LUX
拉脱维亚,LVA,31460.0,18.7440204620361,,56.14114653491664,50.42124043267269,1.6,,35.8,2.5,LVA,59.0,3.0,LVA,1.106470588235294,LVA
中国澳门特别行政区,MAC,128420.0,22.3286094665527,,,49.707191440225465,,,,13.8,,,,,1.0205555555555557,MAC
摩洛哥,MAR,7710.0,,,90.9405998998956,26.87849078908997,,,,5.5,MAR,39.0,2.0,MAR,0.8995,MAR
摩尔多瓦,MDA,14280.0,22.2670097351074,4.1,93.81178400691819,49.253079257499394,0.5,,32.1,,MDA,36.0,,,1.0809523809523809,MDA
马达加斯加,MDG,1630.0,,3.6,,49.12625807412092,78.8,,42.6,43.2,MDG,26.0,,,0.9676470588235294,MDG
马尔代夫,MDV,18310.0,12.4059295654297,3.9,,31.221371933077783,,,,,MDV,40.0,,,1.072,MDV
中东与北非地区,MEA,18071.200487116985,,3.2,64.96736332553556,21.250671110498,7.0,,,10.6503528947622,,,,,,
墨西哥,MEX,19550.0,19.0187492370605,,-4.666485312736533,38.43918556511517,4.5,,48.7,7.2,MEX,31.0,6.0,MEX,1.0061111111111112,MEX
马绍尔群岛,MHL,5190.0,,,,,,,,,,,,,1.0671428571428572,MHL
中等收入国家,MIC,11882.243680678228,15.8756952285767,3.422222222222223,28.00817540414526,37.815723594704636,,,,9.52280844380542,,,,,,
北马其顿,MKD,16750.0,,,51.77099873997075,40.75259293716002,10.4,,40.2,3.7,MKD,39.0,,,1.0616666666666663,MKD
马里,MLI,2330.0,22.4033794403076,3.6,,44.1702006874127,,,,10.4,MLI,29.0,,,0.6839999999999999,MLI
马耳他,MLT,42480.0,18.9048004150391,,99.41771038014868,42.78209513076289,0.2,,29.4,2.5,MLT,54.0,1.0,MLT,1.068095238095238,MLT
缅甸,MMR,4980.0,13.8000001907349,,-32.970794069021416,42.16231456936402,,,,13.1,MMR,28.0,,,1.0618181818181818,MMR
中东与北非地区（不包括高收入）,MNA,11246.214354505362,,3.2,-54.77227438173024,21.354649314082,,,,11.824046742182286,,,,,,
黑山,MNE,23360.0,,,35.549471829109265,45.41106775947058,,,,2.5,MNE,46.0,,,1.0823529411764703,MNE
蒙古,MNG,11570.0,20.4833507537842,3.8,-168.09339324974732,46.31434398437692,0.7,,33.9,19.1,MNG,35.0,,,1.128125,MNG
莫桑比克,MOZ,1330.0,19.9460105895996,3.5,-22.55164379017509,53.46073021064138,,,,31.5,MOZ,26.0,1.0,MOZ,0.7655555555555557,MOZ
毛里塔尼亚,MRT,5500.0,,3.6,,31.08586036493926,,,,9.1,MRT,28.0,,,0.7880952380952382,MRT
毛里求斯,MUS,26790.0,20.905179977417,,84.5422889477177,39.570878662185855,,,,6.2,MUS,54.0,1.0,MUS,1.0588888888888888,MUS
